Player Leaderboard

Sat, 05 Sep 2026 23:00:00 GMT

Ranking, Name, ELO, Played Games

1, [FR] Zodiac, 193.2, 641
2, [ARCH] VNVRCHY, 185.6, 171
3, joksiel, 185.1, 120
4, vor quit. Farewell, 183.3, 225
5, notabunnyᲘ𐑼, 177.2, 787
6, https://joksi.mov, 169.0, 924
7, [Lone] SLΛMNATION, 167.8, 2859
8, kop, 167.8, 2236
9, [TECH] SmartPlayer, 160.2, 820
10, goataru[off], 159.6, 5453
11, [Lone] ΛЯMΛDΛ, 159.0, 85
12, [GGS]Botanot🗿, 158.6, 122
13, [DRAGON] winsterie, 158.5, 7634
14, Player 868, 158.2, 237
15, [OG]Kium, 158.1, 6523
16, [Lone] WΛЯƬΛИK, 156.3, 3237
17, Ren, 151.4, 85
18, Pelé [FIFA], 150.6, 327
19, [Waifu] Elaina, 150.2, 904
20, [FR] Zodiac, 147.5, 1096
21, atana, 147.4, 573
22, Mining btc, 147.4, 348
23, player 273, 146.3, 198
24, [Lone] Byzantium, 146.2, 1488
25, [Lone] Byzantium, 145.4, 1435
26, 🇮🇳[IND] Div x Rizz, 145.3, 1369
27, Lindsay :3, 145.0, 93
28, pate, 144.4, 98
29, ymh, 143.8, 446
30, Dr.Nova, 143.4, 60
31, Catering Guy, 140.2, 729
32, 我就炸鱼你气不气, 139.1, 1783
33, Amujuk, 139.1, 980
34, GlackNiBBer𒐫[elite], 138.9, 6651
35, [FR] Redacted LK, 138.5, 814
36, [WATER] meow🧊🎀, 137.6, 106
37, 砚秋, 137.5, 194
38, Azarathox[OFF], 137.5, 62
39, [0] Arisu, 137.0, 173
40, FullSendOpening😭, 136.7, 144
41, Beluga [CAT], 136.1, 350
42, charm crater [off], 135.8, 611
43, Player 539, 135.5, 62
44, qb, 135.3, 156
45, banana 🍌, 135.1, 903
46, enderknight, 135.1, 107
47, [JP] Player 77, 134.1, 120
48, an0, 133.8, 119
49, 1v2, 133.5, 163
50, crusader, 133.5, 194
51, [OG] Redacted TW, 133.2, 265
52, [UZB] Redacted BB, 133.2, 218
53, DAVID WAKE UP!, 133.1, 110
54, vVvVv, 133.1, 261
55, 你知道我是谁快来挑战我吧, 133.0, 117
56, dsc.gg/rutt [RU], 131.1, 1266
57, Wicker10, 131.0, 198
58, Join [TECH], 130.9, 54
59, nova, 130.4, 58
60, Pon [vn], 130.4, 194
61, Player 840, 130.0, 121
62, Player 264, 129.9, 139
63, [OFF] Redacted Tt, 129.9, 155
64, [ok]修胎VS雪莉, 129.8, 577
65, 𝓫𝓪𝓾𝓱𝓲𝓷𝓲𝓪, 129.8, 345
66, [titan]Hunter😋, 129.7, 157
67, [] xer, 129.0, 1947
68, 👑💋[Femdom], 128.9, 374
69, [CN]😽亦风, 128.8, 119
70, mhy, 128.6, 178
71, [_]Wildcard⛓, 128.5, 204
72, ☁♡ₑ𝐳ᶢ𝒊♡☁, 128.4, 67
73, soggybred [kilr], 128.2, 398
74, [OG] Tank, 128.2, 202
75, VNVRCHY, 127.7, 55
76, The World, 127.6, 309
77, Dr. No, 127.6, 393
78, Ggs, 127.5, 255
79, g, 127.5, 147
80, folk valley in [eu], 127.1, 3391
81, [VN] Vocaloid, 126.6, 111
82, [UNF] water, 126.5, 2463
83, 老牧师, 126.1, 491
84, Tonyukuk, 126.1, 121
85, arcont, 125.4, 494
86, [UZB] Fear, 125.4, 1003
87, [Uzb] J@høňğî®™, 125.3, 99
88, ✨️[137]GENERAL 🪖, 125.2, 78
89, cherry blossom, 125.0, 1726
90, lune, 124.9, 74
91, NOOOOOO0000000000000, 124.8, 248
92, VNVRCHY, 124.2, 62
93, [TR]𝕀𝕄ℙ𝔸𝕃𝔸, 124.1, 181
94, [corgi] KRATOS, 124.1, 92
95, Штирнер, 123.5, 70
96, [ ] Hᴀʀᴅᴄøʀᴇ, 123.3, 134
97, User[ARCH], 123.3, 87
98, Len[og]o Fladen, 122.9, 218
99, Player 974, 122.9, 77
100, 67, 122.1, 563
101, Evil Mastantouno, 121.4, 74
102, sole [OG], 121.0, 113
103, Ender [vn], 120.3, 111
104, TESTy crousty, 120.1, 234
105, 我就炸鱼你气不气, 119.9, 76
106, Airport Wifi [off], 119.9, 258
107, [void], 119.8, 897
108, [OG]s Pizza Stealer, 119.7, 296
109, VNVRCHY, 119.2, 52
110, 𝐒𝐇𝐀𝐊𝐇, 118.7, 151
111, [MUSLIMS] فلسطين, 118.6, 138
112, ikun, 118.2, 124
113, 🧬𓆩 Bɪᴏᴍᴀɴᴄᴇʀ 𓆪🌿, 117.7, 299
114, [void] exiled, 117.6, 263
115, THE END, 117.6, 310
116, Player 1, 117.3, 162
117, [OG] 98b, 117.3, 195
118, Happy G@mer, 116.8, 4200
119, 2bBmb, 116.7, 408
120, PSYCHO-PASS, 116.2, 110
121, [JP]スライムLv.777, 116.2, 2257
122, pooou, 116.0, 92
123, Player 12, 115.4, 92
124, [koral] Seaweed, 115.0, 180
125, PApapa, 115.0, 46
126, ᴺᵃᶜˡ盐ฅᨐฅ盐ᴺᵃᶜˡ, 114.7, 79
127, [UZB] Fear, 114.7, 79
128, 反方向的钟, 114.3, 358
129, [Luna] istealthy, 114.0, 228
130, Lithuania, 114.0, 425
131, soggybred, 114.0, 176
132, [cheese] st albert, 113.9, 216
133, [dark]bank, 113.4, 159
134, [jp] oznok, 113.0, 247
135, gawa, 112.6, 222
136, [CAT]🐾 Shadow 🐈‍⬛, 112.3, 106
137, [cat] bananaaa, 112.2, 174
138, VNVRCHY, 112.2, 58
139, [og] Hiroz, 112.0, 87
140, VNVRCHY, 112.0, 53
141, [EU] Zombieslayer, 111.9, 288
142, [SVL] FURKAN, 111.8, 162
143, [OMEN] Hollow, 111.6, 93
144, Qwerty, 111.4, 312
145, ggm, 111.4, 186
146, mhy, 111.2, 198
147, Bold Pilot, 111.2, 176
148, ✨飛行鸉✨, 111.0, 144
149, [BRO]ʕ ᴥʔ, 111.0, 258
150, Pyatigorsk, 110.6, 452
151, [CN]ELON爸爸, 110.2, 345
152, 👑♀️ [Femdom], 109.9, 553
153, le mur♡ [fr], 109.8, 6555
154, tsaverna, 109.8, 63
155, 🥴😧😲😯😬, 109.6, 57
156, VNVRCHY, 109.5, 66
157, [CN]ELON, 109.4, 306
158, [OG]Mclaren, 109.3, 200
159, [wire] Mel, 109.0, 840
160, Redacted mG, 109.0, 51
161, Amınoğlu Turizm, 108.6, 629
162, Rephoreo [Off], 108.5, 461
163, [pz] vaaynxero, 108.0, 266
164, Kitty🐈‍⬛[Titan], 107.4, 604
165, [BR]傻福的查玛, 107.1, 137
166, Steyn [off], 106.7, 756
167, 🛰👁🛰, 106.4, 585
168, Frias, 106.4, 3517
169, dsc.gg/offruclan[RU], 106.3, 363
170, Draco [OMEN], 106.0, 58
171, [Gore] Xer, 105.8, 286
172, gy, 105.8, 61
173, outkirked, 105.6, 51
174, Redacted ug, 105.4, 255
175, ar[jp]ee, 105.4, 61
176, [OG] Kashim, 105.1, 594
177, [CAT] Anna, 105.1, 489
178, [] xer, 104.9, 279
179, Barzo, 104.9, 981
180, sole [OG], 104.8, 228
181, [Wood] GoogleSnake, 104.7, 126
182, [pz] sorry mate, 104.6, 268
183, Player 285, 104.6, 583
184, 练习, 104.5, 135
185, Zidane, 104.3, 196
186, [LEAFY] ALGR, 104.3, 270
187, [Corgi] Chillz ❄️, 104.1, 604
188, Player 773, 104.1, 183
189, HAHAHA, 104.0, 49
190, Poultrəy, 104.0, 134
191, 🍁木叶飞舞之处 火亦生生不息[CN], 103.9, 266
192, Bold Pilot, 103.8, 67
193, python-editor, 103.7, 101
194, Totohama, 103.5, 218
195, Catz entertainment, 103.3, 48
196, PARIS, 103.2, 489
197, Empire_of_lies, 103.1, 371
198, Helluri Hazretleri, 103.0, 373
199, N[0]VA, 102.9, 249
200, cherry🍒, 102.9, 308
201, ALXIMIKS_[UA], 102.9, 1871
202, Psí Kunda, 102.9, 1072
203, [azasi]𝑻𝒖𝒌𝒌𝒊, 102.8, 110
204, [CN]人民万岁, 102.7, 301
205, Persia 🦁☀️, 102.3, 97
206, [Lam] x Kara, 102.3, 60
207, [utopia]第一秩序, 102.2, 244
208, [SPQR] Ninga, 102.2, 142
209, Org [Omen], 102.0, 311
210, Player 293, 102.0, 38
211, ＡＲＥＮＡ vi [OG], 101.6, 193
212, oy, 101.4, 191
213, [pl], 96.6, 471
214, Redacted m2, 101.3, 134
215, Euro 🇫🇷, 101.2, 278
216, El Torro, 101.2, 885
217, player, 101.2, 87
218, Ha, 100.9, 902
219, [QGB]盐❤️🌺, 100.8, 186
220, Irvix, 100.8, 148
221, [RU]CoruMin (?), 100.8, 80
222, Redacted 7L, 100.8, 105
223, cbrt[0], 100.8, 545
224, 🇵🇱 dsc.gg/1pl [PL], 100.7, 396
225, W, 100.7, 172
226, [vn] KeoGay, 100.7, 40
227, ..., 100.6, 682
228, ətˈæk, 100.6, 135
229, [off] Cae, 100.6, 92
230, ..., 100.5, 110
231, [FR] AzortoX, 100.5, 69
232, C, 100.5, 114
233, Crusader [OMEN], 100.5, 205
234, Player 187, 100.5, 93
235, Player 480, 100.5, 127
236, Redacted Bb, 100.5, 102
237, VØJ [ELITE], 100.5, 234
238, Yoaroak, 100.4, 99
239, [3CH0]Omerta, 100.4, 140
240, Barzo, 100.4, 215
241, indigo, 100.4, 320
242, Player 457, 100.4, 205
243, W, 100.4, 332
244, [OMEN] Zoynura, 100.4, 86
245, ..., 100.4, 124
246, flex, 100.4, 157
247, .., 100.4, 1151
248, [EU] Fake123, 100.4, 197
249, Cyka :ç̵̦͓̝̻̹̲͖̎͛̽̄̽, 100.4, 321
250, 修胎, 100.4, 359
251, [OG]Godot, 100.4, 114
252, Player 61, 100.4, 45
253, [TR]Alberich, 100.4, 134
254, road, 100.4, 164
255, [Titan]ᵈˢᶜ.ᵍᵍ/ₜᵢₜₐₙ, 100.4, 126
256, [ELITE] attack me, 100.4, 715
257, NLFORALL, 100.4, 557
258, [OG] Solemn Lament, 100.4, 59
259, xaone, 100.4, 177
260, [TR]FATİH SULTAN MEH, 100.4, 217
261, Oohuit, 100.4, 980
262, [PL]TV_MAN®, 100.4, 121
263, Mizuki, 100.4, 483
264, road, 100.4, 1939
265, [IND], 100.4, 246
266, Barzo, 100.4, 70
267, [Prime] Euro 🇫🇷, 100.4, 1251
268, XYZ, 100.4, 1666
269, Player 457, 100.4, 253
270, u dont see me, 100.4, 99
271, LTK🐦‍🔥 [VN], 100.4, 101
272, [TITAN] Nova, 100.4, 149
273, Into the night, 100.3, 58
274, wus, 100.3, 156
275, RedactedRedacted[CN], 100.3, 89
276, J, 100.3, 139
277, [ECHO] AlphaDelta, 100.3, 150
278, 呱呱呱, 100.3, 109
279, Fezzi🎭🧸[OMEN], 100.3, 546
280, [ALGTP] فلسطين[ALGTP, 100.3, 67
281, ???, 100.3, 205
282, 𝚂𝚑𝚊z🕊️[omen], 100.3, 48
283, [FR] gracembizii, 100.3, 412
284, pooou, 100.3, 619
285, Happy G@mer, 100.3, 158
286, [عرب] islam in alger, 100.3, 187
287, [CN]随机, 100.3, 64
288, [Ind] Chika, 100.3, 111
289, TD, 100.2, 737
290, [Utopia]超新世纪帝国, 100.2, 346
291, [UA] corv, 100.2, 165
292, [ßßßßßßß] Tarka, 100.2, 100
293, VØJ [ELITE], 100.2, 1005
294, hara, 100.2, 73
295, Redacted YN, 100.2, 139
296, [cn]闪电战, 100.1, 271
297, that one person, 100.0, 356
298, Noob, 99.9, 105
299, Player 704, 99.9, 205
300, 3fp-3pfsdfdpsfpsflsf, 99.8, 576
301, Tonyukuk, 99.8, 43
302, [ITA]FezziQuit🎭✝️, 99.7, 117
303, [Dennkov] player 292, 99.7, 178
304, g, 99.6, 82
305, [F]🪖Ełitecøre🎖, 99.6, 610
306, [OMEN] Player 256, 99.5, 176
307, Hi, 99.4, 517
308, [Z]Never, 99.3, 141
309, e, 99.3, 98
310, qiguai, 99.3, 235
311, ☁️Dʀᴇᴀᴍᴇʀᴄøʀᴇ🌌, 99.3, 290
312, ABC123, 99.1, 55
313, [OMEN] Redacted 98, 98.9, 106
314, SunRise, 98.9, 93
315, tranny ck, 98.8, 96
316, wasted, 98.8, 722
317, ✨🐾Lastly🐈[CN], 98.7, 695
318, ur ad heer, 98.7, 337
319, Knight[CN], 98.6, 124
320, ☬ 𝖍𝖊𝖝𝖎𝖚𝖒, 98.5, 283
321, [Og]☄️CÖMËT💫, 98.4, 1535
322, Retired101, 98.3, 402
323, Player 354, 98.2, 568
324, ⚜️芙拉泰妮特⚜️[CN], 98.1, 116
325, 🦶, 98.0, 233
326, Poison Ivy [OFF], 97.9, 166
327, Hin, 97.9, 570
328, [ELITE] Lefond, 97.8, 230
329, [Pl]zrt🍓, 97.6, 199
330, Imposs[utopia], 97.4, 91
331, 𝕓𝕠𝕣𝕚𝕟𝕘, 97.4, 861
332, [OMEN] Player 151, 97.4, 1325
333, Bogos, 97.3, 80
334, [pz] vaaynxero, 97.3, 199
335, Frens, 97.2, 1434
336, friendlykingdo[IND], 97.2, 609
337, -_-, 97.2, 73
338, Rad [ru], 97.0, 427
339, [OG] Redacted t8, 96.7, 63
340, [CN]F(x)Empire, 96.7, 385
341, [CAT] 0, 96.6, 182
342, [CN]刘𝓛𝓲𝓾, 96.5, 140
343, Ö, 96.4, 133
344, Underberg, 96.4, 148
345, spotted hyena, 96.3, 348
346, Redacted B2, 96.2, 367
347, Hello, 96.2, 2025
348, blue, 96.2, 228
349, player 9178, 96.1, 199
350, kilojet, 96.1, 84
351, Minos [OG], 96.1, 99
352, LLL𒐫, 96.0, 116
353, [Utopia], 95.9, 85
354, ., 95.8, 72
355, [omen] Xiphos✨, 95.8, 367
356, [seer] Noone, 95.7, 96
357, Catz entertainment, 95.7, 253
358, Player 364, 95.7, 127
359, [UMA]LaptevSea, 95.6, 150
360, ..., 95.4, 95
361, chocomint [cat], 95.4, 348
362, [UZB] EMPIRE 🇺🇿, 95.2, 568
363, [CN]qwwqqqa, 95.1, 100
364, [Player] Delayer!, 95.1, 1039
365, Bocchi, 95.1, 458
366, Shikadze[og], 94.8, 1770
367, limehill, 94.6, 184
368, ✨たぶん終わり💜[4200], 94.4, 227
369, Ştɛƴn, 94.1, 210
370, [shobob], 94.1, 60
371, Hampton [CORGI], 94.0, 58
372, [CORGI]Ian, 94.0, 198
373, Player 474, 93.9, 40
374, Ninja, 93.9, 113
375, I❤️[Morocco]™, 93.7, 271
376, [ELITE] attack me, 93.6, 71
377, The end, 93.6, 52
378, Player 899, 93.6, 105
379, ., 93.5, 72
380, I want be strong, 93.4, 66
381, pooou, 93.3, 892
382, Greenbiscuit, 93.2, 1260
383, [OG] player, 92.9, 553
384, [EU] Bread🦊, 92.9, 159
385, pr7g, 92.9, 121
386, Someone, 92.8, 1209
387, Redacted CA, 92.7, 127
388, [👹], 92.5, 67
389, 🃜🃚🃖🃁🂭🂺, 92.5, 186
390, [OG]Godot, 92.5, 327
391, Sir Criston Cole, 92.4, 163
392, ФгcSɭαyҽг དIIཌ, 92.4, 238
393, [PSS] Uzb, 92.4, 279
394, U ugly, 92.4, 86
395, Sonion, 92.2, 93
396, Player 688, 92.0, 577
397, VC, 91.7, 67
398, kiiou, 91.6, 109
399, Player 540, 91.5, 186
400, [TR] Antikasayara 🇹, 91.5, 98
401, TheFullSend✌️😭🥀, 91.4, 145
402, ♛ 1M FullSend😭 ♛, 91.4, 222
403, Player 655, 91.3, 349
404, 𝐒𝐇𝐀𝐊𝐇, 91.3, 329
405, uu, 91.2, 1172
406, [137] saloba [ ], 91.1, 153
407, Schnitzel [SEER], 91.0, 1205
408, BBrulQwhynot, 91.0, 168
409, [JP]栄光あ大孤立, 91.0, 137
410, v1.75.0 goated, 90.8, 1302
411, [IND] Redacted Q8, 90.8, 44
412, [OG]Reacted J6 (2)?, 90.8, 93
413, oh yeah?, 90.7, 112
414, Très Bien, 90.5, 1517
415, 🐧, 90.3, 113
416, [swag], 90.3, 356
417, [CN] Mun, 90.3, 51
418, [Lone] ☣ Radiant ☣, 90.3, 24
419, Empty hexa, 90.2, 2656
420, Player 542, 90.1, 192
421, ..., 90.1, 34
422, ㅤㅤㅤㅤㅤㅤㅤㅤ, 90.0, 497
423, [LZB], 89.8, 53
424, 𝕵𝖔𝖘𝖊𝖕𝖍, 89.7, 130
425, [RU] Щавель, 89.6, 122
426, Flourishing [CN], 89.5, 155
427, [JP]matcha🍵, 89.5, 167
428, Psí Kunda, 89.4, 1191
429, Flourishing [CN], 89.3, 100
430, [CN]我是逆蝶, 89.3, 208
431, [off] kafu?, 89.3, 462
432, [USA] TR-3B, 89.2, 1023
433, [corgi] Silver, 89.1, 62
434, herekyu [void], 89.1, 54
435, xanaxuser, 88.9, 55
436, [OG]Redacted J6, 88.8, 1254
437, Calamity [IND], 88.7, 996
438, 川页, 88.7, 63
439, TGR Haas F1 Team[CN], 88.7, 42
440, Thigh, 88.6, 2145
441, [GGS] Redacted RY, 88.6, 57
442, 15 Temmuz, 88.5, 1180
443, Soco, 88.3, 244
444, MadShrey [IND], 88.1, 617
445, Xj555, 88.1, 148
446, Player, 88.0, 34
447, Goldfinger, 88.0, 1153
448, [Gore] Xer, 87.9, 46
449, [UA]AKva, 87.6, 91
450, kai, 87.6, 32
451, Vici, 87.4, 705
452, Shered with FLR, 86.8, 393
453, [AER]ninja, 86.7, 70
454, [wire]s Khan, 86.5, 449
455, [pl]EE PALESTINE, 86.3, 109
456, Tempoh![LSB], 86.3, 85
457, 𓆙, 86.2, 167
458, aowfrfasekdenndeolsn, 86.2, 38
459, lll, 86.0, 313
460, [✝️]OG hunter, 86.0, 68
461, Player 536, 85.9, 66
462, Calanthe [titan], 85.9, 61
463, [OG] Sorry😥, 85.8, 84
464, [Corgi] mystic, 85.8, 705
465, [B5]XOPS, 85.8, 33
466, europe4europeans, 85.7, 552
467, King Stoke II, 85.5, 146
468, XXX [SOLO] [kv2], 85.3, 447
469, Level 5, 85.1, 142
470, 芙芙, 85.0, 108
471, nonstopsnail, 85.0, 127
472, [OG] Mako [KEES], 85.0, 77
473, Wotek [WIRE], 84.8, 142
474, Rinzo [OMEN], 84.6, 52
475, [omen] sacred, 84.5, 101
476, Hacker [DRAGON], 84.5, 164
477, [Fst]noob?, 84.4, 106
478, [midnight] Jolamalis, 84.4, 81
479, 😛😜😝, 84.4, 77
480, Lich King, 84.2, 305
481, [OG] VIETNAM, 84.1, 332
482, S. Martin G [Abel], 84.0, 507
483, [OG] Player 803, 84.0, 234
484, [CN]薇尔莉特伊芙加登, 84.0, 380
485, TESTy crousty, 83.9, 252
486, TeLeJO, 88.6, 34
487, [Lone] ⚝ Sleeper ヅ, 83.8, 27
488, shoot, 83.7, 77
489, [utopia]交响曲, 83.7, 60
490, 🍌 GAY, 83.7, 526
491, [uk] 𝙀𝙭𝙩𝙧𝙖™, 83.4, 135
492, AAA, 83.4, 352
493, Sharkie, 83.3, 72
494, [FB] Fenerbahce 🟡🔵, 83.3, 699
495, [RU]Vinland, 83.2, 412
496, [😼]砚秋, 83.1, 127
497, RandomRandom[utopia], 83.0, 169
498, [pz] road, 83.0, 148
499, [cz] czechoslovakia, 82.9, 38
500, PENGWING 🐧[EU], 82.9, 380
